name	hours	website
Bar at Times Square	Mon-Thur: 5p-1a, Fri-Sun: 11a-2a	https://newyorknewyork.mgmresorts.com/en/nightlife/bar-at-times-square.html
Flights Restaurant	Daily: 9a-11p	https://www.flightsrestaurants.com/menu-las-vegas
Burger 	Daily: 11a-11p	https://www.caesars.com/planet-hollywood/restaurants/ramsay#.YRQQTi1h2X0
Hecho en Vegas Mexican Grill & Cantina	Tue-Thur: 11:30a-8p, Fri-Sat: 10a-9p	https://mgmgrand.mgmresorts.com/en/restaurants/hecho-en-vegas.html
Holsteins Shakes and Buns	[Mon: 11:30a-9p, Wed-Sun: 11a-10p	https://holsteinsburgers.com
Hussongs Cantina	Sun-Thur: 11a-11p, F-Sat: 11a-12a	https://mandalaybay.mgmresorts.com/en/restaurants/hussongs-cantina.html
House of Blues	Daily: 7am-11pm	https://www.houseofblues.com/lasvegas
Koi	Daily: 5p-10p	https://www.caesars.com/planet-hollywood/restaurants/koi#.YRQy6y1h2X0
Lombardi’s Romagna Mia	Mon-Thur: 11a-10p, Fri-Sat: 11a-11p	https://lombardislasvegas.com
Minus 5˚	Sun-Thur: 11a-12a, Fri-Sat: 11a-1:30a	https://www.minus5experience.com
Mon Ami Gabi	Sun-Thur: 11a-10p, Fri-Sat: 11a-11p	https://www.monamigabi.com/las-vegas/
Nacho Daddy	Sun-Wed: 8a-2a, Thur-Sat: 8a-3a	https://nachodaddy.com
Napoleon’s Lounge	Thur-Mon: 2p-11p	https://www.caesars.com/paris-las-vegas/things-to-do/nightlife/napoleons-lounge?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=NapoleonsDuelingPianos&utm_content=bar
Noodle Shop	Daily: 11a-12a	https://mandalaybay.mgmresorts.com/en/restaurants/noodle-shop.html
Buddy Vs Ristorante	Sun-Mon&Thur: 11:30a-10p, Tue-Wed: 4:30p-10p, Fri-Sat: 11:30a-11p	https://www.venetian.com/restaurants/buddy-v-ristorante.html/
Flour & Barley	(in restaurant) Daily: 11a-2p & 5p-10p, (walk up window) Sun-Thur: 11a-10p, (walk up window) Fri-Sat: 11a-11p	https://flourandbarley.com/las-vegas/
PKWY Tavern	daily: 24hrs	https://www.pkwytavern.com/flamingo-and-215
Rockhouse	Sun-Thur: 11a-10p, Fri-Sat: 11a-12a	https://www.therockhousebar.com
Seafood Shack and Mojito Bar	(Restaurant) Sun& Wed-Thur: 4p-10p, (Restaurant) Fri-Sat: 4p-11p, (mojito bar) Wed-Sun: 4p-11p	https://treasureisland.com/restaurant/4/seafood-shack
Senor Frogs	(Restaurant) Mon-Wed: 5p-10p, (Restaurant_ Sun & Thur: 11a-10p, (Restaurant) Fri-Sat: 11a-8p, (Nightclub) Mon-Wed: 9p-12a, (Nightclub) Sun & Thur: 9p-4a, (Nightclub) Fri-Sat: 9p-5a	https://senorfrogs.com/las-vegas
Tao	Sun-Wed: 5:30p-10:30p, Thur-Sat: 5p-11:30p	https://taogroup.com/venues/tao-asian-bistro-las-vegas/
The Steakhouse	Sun-Fri: 4p-10p, Sat: 4p-11p	https://www.circuscircus.com/restaurants-1/the-steak-house/
The Still	Mon-Wed: 4p-10p, Thurs: 12p-10p, Fri: 12p-1a, Sat: 11a-1a, Sun: 10a-10p	https://thestillvegas.com
Tilted Kilt	Sun: 9a-1a, Mon-Thur: 11a-1a, Fri: 11a-2a, Sat: 9a-2a 	https://tiltedkilt.com/las-vegas/
Trevi	Sun-Thur: 12p-9p, Fri-Sat: 12p-10p	https://www.trevi-italian.com
Vanderpump Cocktail Garden	Mon-Thur: 4p-12a, Fri-Sun: 12p-12a	https://www.caesars.com/caesars-palace/things-to-do/nightlife/vanderpump
Yard House	Sun-Thur: 11a-12a, Fri-Sat: 11a-1a	https://www.yardhouse.com/locations/nv/las-vegas/las-vegas-the-linq/8353?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:las-vegas-nv-8353_pl:locurl_rd:1050
Yolos Mexican Grill	Thur-Fri: 3p-11p, Sat-Sun: 12p-11p	https://www.caesars.com/planet-hollywood/restaurants/yolos#.YRlLzC1h30o
The Tipsy Robot	Sun-Wed: 10a-11p, Thur: 10a-12a, Fri-Sat: 10a-1a	http://thetipsyrobot.com
