food_id	recommendation_id
0	0
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
1	12
1	13
1	14
1	15
2	16
2	17
2	18
2	19
3	20
3	21
3	22
4	23
4	24
4	25
4	26
4	27
4	28
4	29
5	30
5	31
5	32
5	33
6	34
6	35
6	36
6	37
6	38
8	39
10	40
10	41
11	42
11	43
12	44
13	45
14	46
14	47
14	48
15	21
15	49
15	50
16	51
17	52
17	53
18	54
18	55
18	56
18	57
20	58
20	59
22	60
22	61
23	62
23	63
23	64
24	65
29	66
29	67
44	68
44	69
44	70
45	71
46	72
46	73
46	74
47	75
54	76
58	77
59	78
59	79
60	80
61	81
63	82
70	83
70	84
11	85
11	86
77	87
34	88
34	89
34	90
83	91
83	92
83	93
