food_id	note_id
0	0
1	0
2	1
2	2
4	0
1	6
1	7
0	3
0	4
0	5
8	8
12	9
16	0
16	10
17	0
20	11
21	12
21	13
21	14
22	15
24	16
24	17
25	18
25	19
25	20
26	21
26	22
27	23
27	24
28	23
29	25
51	26
51	27
52	28
52	29
52	30
52	31
52	32
52	33
53	34
53	35
54	36
54	37
54	38
54	39
55	40
56	41
56	42
57	43
58	44
58	45
60	46
63	47
65	48
65	49
66	50
67	51
67	52
68	53
69	43
76	54
78	55
78	56
84	57
