destination_id	note_id
1	59
2	60
3	61
4	62
4	63
5	64
6	65
7	66
10	67
10	68
12	69
12	70
13	71
14	72
15	73
16	74
16	75
17	76
17	77
17	78
17	79
18	80
19	81
19	82
22	83
22	84
21	85
23	86
24	87
24	88
26	89
28	90
36	92
37	92
38	93
39	94
40	95
42	86
43	86
44	86
45	86
46	96
